                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.4446,                  14.11,                 4.8745,                      0,                      0,                      0,                      0,                 2.7495,                 16.824,                 2.7737,              6.668e-05,              6.668e-05,              6.668e-05
                      1,                 4.3689,                 9.5685,                 4.4572,                      0,                      0,                      0,                      0,                 2.7491,                 16.824,                 2.7745,             0.00014854,             0.00014854,             0.00014854
                      2,                 4.2905,                 8.2128,                 4.4852,                  6e-05,                0.03333,                  3e-05,                  1e-05,                   2.75,                 16.827,                 2.7751,             0.00022876,             0.00022876,             0.00022876
                      3,                 4.1136,                 10.072,                 4.4424,                  9e-05,                   0.05,                  5e-05,                  1e-05,                 2.7519,                 16.831,                  2.776,             0.00030732,             0.00030732,             0.00030732
                      4,                 4.2262,                 8.1131,                 4.3145,                  9e-05,                   0.05,                  5e-05,                  1e-05,                 2.7539,                 16.842,                 2.7773,             0.00038424,             0.00038424,             0.00038424
                      5,                 3.8993,                 8.3193,                  4.207,                  6e-05,                0.03333,                  3e-05,                  1e-05,                 2.7559,                 16.846,                 2.7786,              0.0004595,              0.0004595,              0.0004595
                      6,                 4.3678,                 7.4742,                 4.1741,                  4e-05,                0.01667,                  2e-05,                      0,                 2.7593,                 16.334,                 2.7811,             0.00053311,             0.00053311,             0.00053311
                      7,                 3.7317,                 7.2324,                 4.1475,                  4e-05,                0.01667,                  2e-05,                      0,                 2.7645,                  15.81,                 2.7834,             0.00060508,             0.00060508,             0.00060508
                      8,                  3.929,                 6.6757,                 4.0507,                  4e-05,                0.01667,                  2e-05,                      0,                 2.7763,                 15.239,                 2.7907,             0.00067539,             0.00067539,             0.00067539
                      9,                 3.6982,                 6.4177,                 4.0632,                  4e-05,                0.01667,                  2e-05,                      0,                 2.7839,                 11.011,                 2.7955,             0.00074405,             0.00074405,             0.00074405
                     10,                 3.8493,                 8.3297,                 3.9821,                  4e-05,                0.01667,                  2e-05,                      0,                 2.7932,                 11.354,                 2.8031,             0.00081106,             0.00081106,             0.00081106
                     11,                 3.7487,                 6.2131,                 3.7797,                  4e-05,                0.01667,                  2e-05,                      0,                 2.7958,                 11.916,                  2.808,             0.00087642,             0.00087642,             0.00087642
                     12,                 3.3922,                 7.1986,                 3.7838,                  4e-05,                0.01667,                  2e-05,                      0,                 2.7852,                 11.956,                  2.803,             0.00094013,             0.00094013,             0.00094013
                     13,                 3.4743,                 7.1688,                 3.7316,                  4e-05,                0.01667,                  2e-05,                      0,                 2.7672,                  14.33,                 2.7978,              0.0010022,              0.0010022,              0.0010022
                     14,                  3.393,                 6.7457,                 3.6468,                  4e-05,                0.01667,                  2e-05,                      0,                 2.7651,                 9.8851,                 2.8112,              0.0010626,              0.0010626,              0.0010626
                     15,                 3.6715,                 7.5081,                  3.711,                  4e-05,                0.01667,                  2e-05,                      0,                 2.7566,                 8.7969,                 2.8124,              0.0011214,              0.0011214,              0.0011214
